__v,_id,city_type,country_code,end_date,id,is_cost_effective,is_safe,is_soloable,is_time_efficient,is_walk,keyword,like,start_date,type_id_a,type_id_b,type_id_c,version
0,63e30c3432f27972ae878642,null,HRV,2023-02-08T02:45:44.341Z,0334a9a9-43b7-41f8-92bf-575e7bc3ae81,true,null,false,false,false,아름다운 자연경관,false,2023-02-08T02:43:00.850Z,R,F,U,1.1.0_20230206
0,63e30c3d32f27972ae878648,new,THA,2023-02-08T02:44:27.990Z,56fda042-e0e6-482c-aa0c-499190dc89d4,false,false,null,false,null,왁자지껄한 야시장,false,2023-02-08T02:43:09.531Z,C,F,U,1.1.0_20230206
0,63e30c4032f27972ae87864a,old,DEU,2023-02-08T02:44:18.136Z,f2d7b1c0-ebb3-4fe5-bbd2-b3657ece56f4,false,true,null,false,null,시원한 현지 맥주,false,2023-02-08T02:43:12.462Z,C,F,D,1.1.0_20230206
0,63e30cb932f27972ae87865a,null,null,null,b81d71c7-460a-4efa-8e6f-86f92558f5c7,null,null,null,null,null,null,false,2023-02-08T02:45:13.660Z,null,null,null,1.1.0_20230206
0,63e30cd332f27972ae87865e,null,MYS,2023-02-08T02:46:47.051Z,8f6c0a16-76eb-46df-81ac-b3c1ae03e666,true,null,false,true,false,수상레저,false,2023-02-08T02:45:39.466Z,R,F,D,1.1.0_20230206
0,63e30ce132f27972ae878665,null,ESP,2023-02-08T02:46:59.042Z,d467306c-09ff-493c-bba9-81f4438448c8,false,null,false,true,false,신나는 밤문화,false,2023-02-08T02:45:53.702Z,R,F,D,1.1.0_20230206
0,63e30d4d32f27972ae87866f,null,TUN,2023-02-08T02:49:00.062Z,44a3d857-5e50-4969-ab73-6420754892fe,false,null,false,false,false,현지인과의 교류,false,2023-02-08T02:47:41.614Z,R,H,U,1.1.0_20230206
0,63e30d6f32f27972ae878671,old,KAZ,2023-02-08T02:48:48.333Z,dd723e73-a9e1-4974-9a88-482167bafa68,false,false,null,true,null,독창적 건축양식,true,2023-02-08T02:48:15.825Z,C,H,U,1.1.0_20230206
0,63e30d8a32f27972ae878675,null,JOR,2023-02-08T02:49:40.111Z,7b921e82-a648-4cdf-9c68-b42b4f041456,true,null,false,true,true,역사문화 탐방,false,2023-02-08T02:48:42.095Z,A,H,U,1.1.0_20230206
0,63e30d9732f27972ae87867a,null,CRI,2023-02-08T02:49:58.599Z,e4c6d41b-c08e-456a-a9c4-3fbce24fb132,false,null,false,false,false,열대우림,false,2023-02-08T02:48:55.833Z,A,H,U,1.1.0_20230206
